epoch,time_step,reward
39,0,-1
39,1,-2
39,2,-3
39,3,-4
39,4,-5
39,5,-6
39,6,-7
39,7,-8
39,8,-9
39,9,-10
39,10,-11
39,11,-12
39,12,-13
39,13,-14
39,14,-15
39,15,-16
39,16,-17
39,17,-18
39,18,-19
39,19,-20
39,20,-21
39,21,-22
39,22,-23
39,23,-24
39,24,-25
39,25,-26
39,26,-27
39,27,-28
39,28,-29
39,29,-30
39,30,-31
39,31,-32
39,32,-33
39,33,-34
39,34,-35
39,35,-36
39,36,-37
39,37,-38
39,38,-39
39,39,-40
39,40,-41
39,41,-42
39,42,-43
39,43,-44
39,44,-45
39,45,-46
39,46,-47
39,47,-48
39,48,-49
39,49,-50
39,50,-51
39,51,-52
39,52,-53
39,53,-54
39,54,-55
39,55,-56
39,56,-57
39,57,-58
39,58,-59
39,59,-60
39,60,-61
39,61,-62
39,62,-63
39,63,-64
39,64,-65
39,65,-66
39,66,-67
39,67,-68
39,68,-69
39,69,-70
39,70,-71
39,71,-72
39,72,-73
39,73,-74
39,74,-75
39,75,-76
39,76,-77
39,77,-78
39,78,-79
39,79,-80
39,80,-81
39,81,-82
39,82,-83
39,83,-84
39,84,-85
39,85,-86
39,86,-87
39,87,-88
39,88,-89
39,89,-90
39,90,-91
39,91,-92
39,92,-93
39,93,-94
39,94,-95
39,95,-96
39,96,-97
39,97,-98
39,98,-99
39,99,-100
39,100,-101
39,101,-102
39,102,-103
39,103,-104
39,104,-105
39,105,-106
39,106,-107
39,107,-108
39,108,-109
39,109,-110
39,110,-111
39,111,-112
39,112,-113
39,113,-114
39,114,-115
39,115,-116
39,116,-117
39,117,-118
39,118,-119
39,119,-120
39,120,-121
39,121,-122
39,122,-123
39,123,-124
39,124,-125
39,125,-126
39,126,-127
39,127,-128
39,128,-129
39,129,-130
39,130,-131
39,131,-132
39,132,-133
39,133,-134
39,134,-135
39,135,-136
39,136,-137
39,137,-138
39,138,-139
39,139,-140
39,140,-141
39,141,-142
39,142,-143
39,143,-144
39,144,-145
39,145,-146
39,146,-147
39,147,-148
39,148,-149
39,149,-150
