epoch,time_step,reward
19,0,-1
19,1,-2
19,2,-3
19,3,-4
19,4,-5
19,5,-6
19,6,-7
19,7,-8
19,8,-9
19,9,-10
19,10,-11
19,11,-12
19,12,-13
19,13,-14
19,14,-15
19,15,-16
19,16,-17
19,17,-18
19,18,-19
19,19,-20
19,20,-21
19,21,-22
19,22,-23
19,23,-24
19,24,-25
19,25,-26
19,26,-27
19,27,-28
19,28,-29
19,29,-30
19,30,-31
19,31,-32
19,32,-33
19,33,-34
19,34,-35
19,35,-36
19,36,-37
19,37,-38
19,38,-39
19,39,-40
19,40,-41
19,41,-42
19,42,-43
19,43,-44
19,44,-45
19,45,-46
19,46,-47
19,47,-48
19,48,-49
19,49,-50
19,50,-51
19,51,-52
19,52,-53
19,53,-54
19,54,-55
19,55,-56
19,56,-57
19,57,-58
19,58,-59
19,59,-60
19,60,-61
19,61,-62
19,62,-63
19,63,-64
19,64,-65
19,65,-66
19,66,-67
19,67,-68
19,68,-69
19,69,-70
19,70,-71
19,71,-72
19,72,-73
19,73,-74
19,74,-75
19,75,-76
19,76,-77
19,77,-78
19,78,-79
19,79,-80
19,80,-81
19,81,-82
19,82,-83
19,83,-84
19,84,-85
19,85,-86
19,86,-87
19,87,-88
19,88,-89
19,89,-90
19,90,-91
19,91,-92
19,92,-93
19,93,-94
19,94,-95
19,95,-96
19,96,-97
19,97,-98
19,98,-99
19,99,-100
19,100,-101
19,101,-102
19,102,-103
19,103,-104
19,104,-105
19,105,-106
19,106,-107
19,107,-108
19,108,-109
19,109,-110
19,110,-111
19,111,-112
19,112,-113
19,113,-114
19,114,-115
19,115,-116
19,116,-117
19,117,-118
19,118,-119
19,119,-120
19,120,-121
19,121,-122
19,122,-123
19,123,-124
19,124,-125
19,125,-126
19,126,-127
19,127,-128
19,128,-129
19,129,-130
19,130,-131
19,131,-132
19,132,-133
19,133,-134
19,134,-135
19,135,-136
19,136,-137
19,137,-138
19,138,-139
19,139,-140
19,140,-141
19,141,-142
19,142,-143
19,143,-144
19,144,-145
19,145,-146
19,146,-147
19,147,-148
19,148,-149
19,149,-150
19,150,-151
19,151,-152
19,152,-153
19,153,-154
19,154,-155
19,155,-156
19,156,-157
19,157,-158
19,158,-159
19,159,-160
19,160,-161
19,161,-162
19,162,-163
19,163,-164
19,164,-165
19,165,-166
19,166,-167
19,167,-168
19,168,-169
19,169,-170
19,170,-171
19,171,-172
19,172,-173
19,173,-174
19,174,-175
19,175,-176
19,176,-177
19,177,-178
19,178,-179
19,179,-180
19,180,-181
19,181,-182
19,182,-183
19,183,-184
19,184,-185
19,185,-186
19,186,-187
19,187,-188
19,188,-189
19,189,-190
19,190,-191
19,191,-192
19,192,-193
19,193,-194
19,194,-195
19,195,-196
19,196,-197
19,197,-198
19,198,-199
19,199,-200
19,200,-201
19,201,-202
19,202,-203
19,203,-204
19,204,-205
19,205,-206
19,206,-207
19,207,-208
19,208,-209
19,209,-210
19,210,-211
19,211,-212
19,212,-213
19,213,-214
19,214,-215
19,215,-216
19,216,-217
19,217,-218
19,218,-219
19,219,-220
19,220,-221
19,221,-222
19,222,-223
19,223,-224
19,224,-225
19,225,-226
19,226,-227
19,227,-228
19,228,-229
19,229,-230
19,230,-231
19,231,-232
19,232,-233
19,233,-234
19,234,-235
19,235,-236
19,236,-237
19,237,-238
19,238,-239
19,239,-240
19,240,-241
19,241,-242
19,242,-243
19,243,-244
19,244,-245
19,245,-246
19,246,-247
19,247,-248
19,248,-249
19,249,-250
19,250,-251
19,251,-252
19,252,-253
19,253,-254
19,254,-255
19,255,-256
19,256,-257
19,257,-258
19,258,-259
19,259,-260
19,260,-261
19,261,-262
19,262,-263
19,263,-264
19,264,-265
19,265,-266
19,266,-267
19,267,-268
19,268,-269
19,269,-270
19,270,-271
19,271,-272
19,272,-273
19,273,-274
19,274,-275
19,275,-276
19,276,-277
19,277,-278
19,278,-279
19,279,-280
19,280,-281
19,281,-282
19,282,-283
19,283,-284
19,284,-285
19,285,-286
19,286,-287
19,287,-288
